{'Key': '0x0B39', 'Length': '34', 'SpecID': 'Dia_Anp_13', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Audio_Management_Input_Gain_Offset'}
{'Key': '0x7202', 'Length': 'Sound', 'SpecID': 'Dia_Ds_17', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Audio-Paramter'}
{'Key': '0x7203', 'Length': 'Sound', 'SpecID': 'Dia_Ds_24', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Audio-Parameter'}
{'Key': '0x7204', 'Length': 'Sound', 'SpecID': 'Dia_Ds_31', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Audio-Parameter'}
{'Key': '0x7205', 'Length': 'Communication', 'SpecID': 'Dia_Ds_38', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'InCar'}
{'Key': '0x7200', 'Length': 'Sound', 'SpecID': 'Dia_Ds_45', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Individual'}
{'Key': '0x7101', 'Length': 'Sound', 'SpecID': 'Dia_Ds_316', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Audio-Parameter'}
{'Key': '0x7102', 'Length': 'Sound', 'SpecID': 'Dia_Ds_323', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Audio-Parameter'}
{'Key': '0x7103', 'Length': 'Parameter', 'SpecID': 'Dia_Ds_330', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Audio-Sound'}
{'Key': '0x7104', 'Length': 'Parameter', 'SpecID': 'Dia_Ds_337', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Audio-Sound'}
{'Key': '0x7105', 'Length': 'Parameter', 'SpecID': 'Dia_Ds_344', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Audio-Sound'}
{'Key': '0x7206', 'Length': 'configuration', 'SpecID': 'Dia_Ds_53', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Speaker'}
{'Key': '0x7207', 'Length': 'configuration', 'SpecID': 'Dia_Ds_60', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Speaker'}
{'Key': '0x7208', 'Length': 'configuration', 'SpecID': 'Dia_Ds_67', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Speaker'}
{'Key': '0x7209', 'Length': 'HMI', 'SpecID': 'Dia_Ds_79', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Eco'}
{'Key': '0x720A', 'Length': 'Frequency', 'SpecID': 'Dia_Ds_89', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'DAB'}
{'Key': '0x720B', 'Length': '(Sprache-----)', 'SpecID': 'Dia_Ds_97', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Sprache'}
{'Key': '0x720C', 'Length': 'MMI', 'SpecID': 'Dia_Ds_153', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Sichtbare'}
{'Key': '0x7100', 'Length': 'Signal', 'SpecID': 'Dia_Ds_160', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Speech'}
{'Key': '0x7210', 'Length': 'Signal', 'SpecID': 'Dia_Ds_260', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Speech'}
{'Key': '0x7211', 'Length': 'Signal', 'SpecID': 'Dia_Ds_267', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Speech'}
{'Key': '0x7212', 'Length': 'Signal', 'SpecID': 'Dia_Ds_274', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Speech'}
{'Key': '0x7213', 'Length': 'Signal', 'SpecID': 'Dia_Ds_281', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Speech'}
{'Key': '0x7214', 'Length': 'Signal', 'SpecID': 'Dia_Ds_288', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Speech'}
{'Key': '0x7215', 'Length': 'Signal', 'SpecID': 'Dia_Ds_295', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Speech'}
{'Key': '0x7216', 'Length': 'Signal', 'SpecID': 'Dia_Ds_302', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Speech'}
{'Key': '0x7217', 'Length': 'Signal', 'SpecID': 'Dia_Ds_309', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Speech'}
{'Key': '0x720D', 'Length': '(GeschwAbSchw)', 'SpecID': 'Dia_Ds_181', 'Namespace_purpose': 'Records', 'Namespace_hex': '0x4000000', 'Longname': 'Geschwindigkeitsabschaltschwellen'}
{'Key': 'n/a', 'Length': '0', 'SpecID': 'n/a', 'Namespace_purpose': 'Information', 'Namespace_hex': '0x5000000', 'Longname': 'n/a'}
{'Key': '0x0574', 'Length': 'n/a', 'SpecID': 'n/a', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'ipv6_address_of_subnet_4_on_ccu'}
{'Key': '0x0576', 'Length': 'n/a', 'SpecID': 'n/a', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'ipv4_address_of_subnet_4_on_ccu'}
{'Key': '0x0575', 'Length': 'n/a', 'SpecID': 'n/a', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'ipv4_address_of_subnet_4_on_mib'}
{'Key': '0x0573', 'Length': 'n/a', 'SpecID': 'n/a', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'ipv6_address_of_subnet_4_on_mib'}
{'Key': '0x0512', 'Length': 'setting', 'SpecID': 'n/a', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'android'}
{'Key': '0x0570', 'Length': 'configuration', 'SpecID': 'n/a', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function'}
{'Key': '0x056F', 'Length': 'OCU', 'SpecID': 'n/a', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'mic'}
